City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
398,bengkulu,-3.8004,102.2655,297.2,94,75,1.94,ID,1688924695
399,siwa oasis,29.2041,25.5195,305.82,24,0,8.15,EG,1688924968
400,zyryanskoye,56.8306,86.6258,288.95,80,98,1.87,RU,1688924968
401,dawesville,30.9224,-84.0091,305.02,74,75,3.13,US,1688924968
402,libertad,8.9442,125.5019,298.4,89,100,2.43,PH,1688924968
403,choibalsan,48.0667,114.5,289.75,94,98,2.65,MN,1688924968
404,tofol,5.3248,163.0078,301.17,77,100,5.59,FM,1688924969
405,paredon,16.0333,-93.8667,304.01,63,89,3.29,MX,1688924969
406,callao,-12.0667,-77.15,295.31,68,100,4.63,PE,1688924969
407,mejit,10.2753,170.8646,301.24,73,100,7.96,MH,1688924969
408,kampong thom,12.7111,104.8887,298.88,84,81,2.36,KH,1688924969
409,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,75,2.0,RU,1688924969
410,lumphat,13.4878,106.9816,296.59,98,90,0.63,KH,1688924970
411,oranjemund,-28.55,16.4333,285.73,75,0,9.24,NA,1688924970
412,labatlan,47.7473,18.4962,298.44,59,0,1.98,HU,1688924970
413,wilson,36.1501,-86.2833,299.71,86,100,0.0,US,1688924685
414,coahuayana de hidalgo,18.7,-103.6583,305.44,56,76,2.73,MX,1688924970
415,novoishimskiy,53.1981,66.7694,295.2,55,19,3.17,KZ,1688924970
416,varnamo,57.186,14.04,295.79,52,63,1.58,SE,1688924971
417,emerald,-23.5333,148.1667,283.34,67,89,4.71,AU,1688924971
418,sydney mines,46.2367,-60.2177,302.18,79,75,4.12,CA,1688924971
419,huayacocotla,20.55,-98.4833,296.12,55,75,4.2,MX,1688924971
420,masindi,1.6744,31.715,293.44,73,80,0.84,UG,1688924971
421,luninyets,52.2472,26.8047,290.46,72,60,3.3,BY,1688924972
422,neelankarai,12.9455,80.2575,300.18,89,75,3.09,IN,1688924972
423,tauranga,-37.6861,176.1667,285.18,86,99,1.34,NZ,1688924972
424,kabansk,52.0486,106.6528,285.76,99,95,0.31,RU,1688924972
425,al jawf,29.5,38.75,304.67,13,0,3.94,SA,1688924972
426,sierra grande,-41.606,-65.3557,280.64,61,58,5.25,AR,1688924973
427,tyukhtet,56.5389,89.3011,287.7,98,73,2.43,RU,1688924973
428,belmonte,-15.8631,-38.8828,299.94,71,9,3.65,BR,1688924973
429,berekua,15.2333,-61.3167,306.67,52,20,2.06,DM,1688924973
430,international falls,48.6011,-93.411,298.79,67,0,4.63,US,1688924973
431,bakchar,57.0186,82.0711,286.15,89,17,1.99,RU,1688924974
432,benguela,-12.5763,13.4055,293.42,87,24,2.85,AO,1688924984
433,vernon,50.2581,-119.2691,303.49,36,0,1.03,CA,1688924907
434,edgewater,28.9889,-80.9023,308.8,48,8,2.18,US,1688924985
435,bafq,31.6128,55.4107,307.26,11,0,2.68,IR,1688924985
436,grand forks,47.9417,-97.4337,301.36,47,20,5.66,US,1688924986
437,puerto aysen,-45.4,-72.7,277.94,94,95,0.75,CL,1688924889
438,pangody,65.85,74.4859,285.0,73,37,3.58,RU,1688924986
439,almirante tamandare,-25.3247,-49.31,288.83,97,100,2.57,BR,1688924986
440,mogadishu,2.0371,45.3438,298.67,85,42,9.26,SO,1688924986
441,ixtapa,20.7,-105.2,307.16,57,33,1.34,MX,1688924986
442,fada,9.5667,8.3,293.94,96,90,0.66,NG,1688924987
443,mabaruma,8.2,-59.7833,300.22,92,49,2.71,GY,1688924987
444,don sak,9.3168,99.6918,299.24,83,100,3.36,TH,1688924987
445,oshnaviyeh,37.0397,45.0983,294.68,35,0,4.49,IR,1688924987
446,saudarkrokur,65.7461,-19.6394,288.57,58,41,2.15,IS,1688924987
447,portland,45.5234,-122.6762,297.31,57,20,2.06,US,1688924948
448,holualoa,19.6228,-155.9522,296.92,85,75,4.12,US,1688924987
449,linhares,-19.3911,-40.0722,300.97,44,6,5.37,BR,1688924988
450,alaghsas,17.0187,8.0168,309.38,21,72,1.68,NE,1688924988
451,broome,42.2506,-75.833,296.58,86,0,1.54,US,1688924988
452,tobelo,1.7284,128.0095,299.38,85,100,1.83,ID,1688924988
453,shilovo,54.3204,40.874,289.79,96,100,8.08,RU,1688924988
454,bousso,10.4795,16.7117,300.62,64,100,1.34,TD,1688924988
455,roswell,34.0232,-84.3616,304.84,61,0,5.66,US,1688924752
456,serov,59.6033,60.5787,291.37,94,78,1.7,RU,1688924989
457,rockwood,35.8656,-84.6849,302.57,76,75,1.54,US,1688924989
458,taksimo,56.3444,114.8794,291.57,58,91,0.18,RU,1688924989
459,zarand,30.8127,56.564,301.39,14,0,3.14,IR,1688924989
460,chimoio,-19.1164,33.4833,295.07,49,20,1.36,MZ,1688924799
461,kismayo,-0.3582,42.5454,298.31,79,39,8.25,SO,1688924989
462,chesapeake ranch estates,38.3462,-76.4177,304.1,75,20,3.09,US,1688924989
463,la gi,10.6667,107.7833,299.18,82,72,1.86,VN,1688924990
464,ola,59.5833,151.2833,286.01,94,100,2.11,RU,1688924990
465,ubari,26.5921,12.7805,308.32,17,31,4.23,LY,1688924990
466,bayji,34.9311,43.487,309.03,18,0,4.01,IQ,1688924990
467,spearfish,44.4908,-103.8594,301.08,39,0,1.79,US,1688924990
468,weissenfels,51.2,11.9667,306.31,51,19,3.27,DE,1688924990
469,santiago de cao,-7.9589,-79.2392,296.22,78,100,4.12,PE,1688924990
470,nefta,33.8731,7.8777,321.29,14,5,7.53,TN,1688924990
471,mitsamiouli,-11.3847,43.2844,299.31,65,20,4.12,KM,1688924991
472,lorengau,-2.0226,147.2712,299.61,82,100,2.52,PG,1688924991
473,salgueiro,-8.0742,-39.1192,304.75,35,49,3.6,BR,1688924991
474,tamanrasset,22.785,5.5228,307.1,11,0,5.66,DZ,1688924991
475,yunyang,33.4474,112.7142,299.2,94,14,3.97,CN,1688924991
476,manfalut,27.3104,30.97,308.29,18,0,7.7,EG,1688924991
477,olinda,-8.0089,-34.8553,301.0,78,75,2.06,BR,1688924991
478,kone,-21.0595,164.8658,289.19,87,27,1.82,NC,1688924992
479,muravlenko,63.7898,74.523,290.72,68,76,2.93,RU,1688924992
480,gizo,-8.103,156.8419,300.38,83,100,7.33,SB,1688924992
481,nabire,-3.3667,135.4833,297.41,93,92,1.37,ID,1688925002
482,prado,-17.3411,-39.2208,298.75,75,0,4.65,BR,1688924760
483,kiunga,-6.1219,141.2906,296.59,99,99,1.24,PG,1688925003
484,kumbo,6.2,10.6667,289.22,97,97,1.8,CM,1688925003
485,preobrazheniye,42.9019,133.9064,290.79,90,100,2.94,RU,1688925003
486,nandgaon,20.3167,74.65,298.23,81,100,7.6,IN,1688925004
487,gurupi,-11.7292,-49.0686,309.55,18,0,1.41,BR,1688925004
488,cambridge,43.3601,-80.3127,298.28,68,100,1.54,CA,1688924863
489,santa elena de uairen,4.6167,-61.1333,297.9,72,42,2.65,VE,1688925004
490,novotroitsk,51.203,58.3266,304.54,31,98,1.58,RU,1688925005
491,calp,38.6447,0.0445,304.02,73,65,2.73,ES,1688925005
492,canning,22.3189,88.6714,303.16,86,76,3.52,IN,1688925005
493,sinan,34.8262,126.1086,298.21,97,87,6.27,KR,1688925005
494,mana,5.6592,-53.7767,300.88,83,13,2.87,GF,1688925006
495,boguchany,58.3814,97.4531,289.81,96,99,0.72,RU,1688925006
496,niagara falls,43.1001,-79.0663,298.76,72,100,3.6,CA,1688925006
497,belyy yar,53.6039,91.3903,290.09,88,0,1.0,RU,1688925006
498,laojunmiao,39.8333,97.7333,297.51,32,79,1.52,CN,1688925006
499,tarakan,3.3,117.6333,299.94,78,75,0.93,ID,1688925007
500,necochea,-38.5473,-58.7368,286.48,68,82,4.89,AR,1688925008
501,mananjary,-21.2167,48.3333,293.5,86,8,2.76,MG,1688925008
502,miranda,3.2499,-76.2281,301.22,53,47,1.82,CO,1688925008
503,ocean shores,46.9737,-124.1563,290.38,73,100,3.6,US,1688925009
504,cole harbour,44.6724,-63.4751,302.14,82,69,5.66,CA,1688924975
505,hooper,41.1638,-112.1224,304.84,26,0,3.13,US,1688925009
506,bangar,16.8936,120.4243,298.88,85,23,1.87,PH,1688925009
507,retreat,38.8245,-85.8533,298.36,62,86,2.24,US,1688925010
508,pacasmayo,-7.4006,-79.5714,297.47,72,78,6.54,PE,1688925010
509,auki,-8.7676,160.7034,297.83,91,96,2.33,SB,1688925010
510,torghay,49.6339,63.4981,301.23,21,2,3.58,KZ,1688925010
511,gazojak,41.1875,61.4036,306.51,15,0,2.86,TM,1688925010
512,phan rang-thap cham,11.5667,108.9833,298.31,86,69,1.9,VN,1688925011
513,luebo,-5.35,21.4167,298.37,33,25,0.41,CD,1688925011
514,maluso,6.543,121.8753,299.4,82,99,0.43,PH,1688925011
515,korla,41.7597,86.1469,299.51,42,100,6.09,CN,1688924747
516,svetlyy,54.675,20.1347,294.18,69,4,2.51,RU,1688925012
517,leh,34.1667,77.5833,282.76,90,100,1.2,IN,1688925012
518,susanville,40.4163,-120.653,299.88,28,0,3.13,US,1688924873
519,akjoujt,19.6969,-14.4164,317.88,8,1,7.28,MR,1688925012
520,morshyn,49.1565,23.8723,292.03,79,44,0.47,UA,1688925013
521,luau,-10.7073,22.2247,293.43,31,1,1.14,AO,1688925013
522,kovdor,67.5662,30.4758,286.1,53,54,2.16,RU,1688925013
523,ha tien,10.3833,104.4833,300.4,78,100,1.82,VN,1688925013
524,iquitos,-3.7481,-73.2472,301.17,89,40,1.54,PE,1688924823
525,ha'il,27.5219,41.6907,309.16,15,0,1.03,SA,1688925024
526,kinwat,19.6333,78.2,300.36,74,95,3.17,IN,1688925025
527,saint-francois,46.4154,3.9054,305.84,43,0,4.12,FR,1688924762
528,pitimbu,-7.4706,-34.8086,301.48,76,17,5.68,BR,1688925025
529,trairi,-3.2778,-39.2689,302.46,61,27,6.49,BR,1688925026
530,morden,49.1919,-98.1014,300.42,39,28,6.69,CA,1688924863
531,bamboo flat,11.7,92.7167,298.2,94,100,2.57,IN,1688925026
532,mirny,62.5353,113.9611,288.11,71,63,1.6,RU,1688925026
533,margate,51.3813,1.3862,291.87,83,100,2.24,GB,1688924985
534,santa maria da vitoria,-13.3947,-44.1886,307.4,20,10,0.67,BR,1688925026
535,port alberni,49.2413,-124.8028,294.33,52,0,1.1,CA,1688925026
536,ust'-barguzin,53.45,108.9833,288.26,91,67,2.78,RU,1688925027
537,okahao,-17.885,15.0667,291.42,23,0,3.3,NA,1688925027
538,mahina,-17.5065,-149.489,299.02,78,40,2.57,PF,1688925027
539,merizo village,13.2658,144.6691,299.46,98,100,4.9,GU,1688925027
540,nizhneangarsk,55.7833,109.55,287.77,83,91,1.6,RU,1688925027
541,tashtyp,52.7939,89.8983,287.35,90,46,2.27,RU,1688924810
542,mangrol,21.1167,70.1167,300.93,84,100,7.2,IN,1688925028
543,vorkuta,67.5,64.0,282.44,76,98,4.63,RU,1688925028
544,yaren,-0.5472,166.916,299.61,84,100,3.69,NR,1688925028
545,yatou,37.15,122.3833,295.46,89,20,3.28,CN,1688925028
546,kilindoni,-7.9139,39.6668,298.44,76,12,5.06,TZ,1688925028
547,ugoofaaru,5.6667,73.0,301.95,71,71,5.2,MV,1688925028
548,aoulef,26.9667,1.0833,316.05,5,0,7.61,DZ,1688925029
549,dzuunharaa,48.8523,106.4579,288.98,88,58,0.7,MN,1688925029
550,hobyo,5.3505,48.5268,298.98,80,38,13.39,SO,1688925029
551,trinidad,-14.8333,-64.9,305.14,62,40,7.2,BO,1688925029
552,horta,38.5333,-28.6333,294.27,94,75,2.24,PT,1688924818
553,lalibela,12.0333,39.0333,291.66,66,99,1.31,ET,1688925030
554,santana,-0.0583,-51.1817,305.25,62,40,3.09,BR,1688925017
555,houghton,47.1219,-88.569,296.33,47,75,5.14,US,1688925030
556,lagos de moreno,21.35,-101.9167,299.42,51,51,1.0,MX,1688925030
557,loen,7.7601,168.2307,301.25,77,86,5.56,MH,1688925030
558,zapolyarnyy,69.4154,30.8136,283.75,65,88,2.1,RU,1688925031
559,yulinshi,38.2906,109.7494,300.1,30,87,3.22,CN,1688925031
560,santa cruz,-17.8,-63.1667,299.85,78,75,9.26,BO,1688925032
561,barranca,-10.75,-77.7667,295.8,66,13,4.94,PE,1688925032
562,moa,20.6569,-74.9403,304.87,65,6,5.91,CU,1688925032
563,dutse,11.7594,9.3392,303.84,43,75,4.08,NG,1688925032
564,jutai,-5.1833,-68.9,307.19,43,14,1.6,BR,1688925033
565,mahibadhoo,3.7833,72.9667,301.36,71,34,3.74,MV,1688925033
566,dourdan,48.5277,2.0111,299.06,69,95,4.12,FR,1688925033
567,az zulfi,26.2995,44.8154,311.36,8,1,2.84,SA,1688925033
568,deridder,30.8463,-93.289,305.9,84,100,4.12,US,1688925033
569,pratt,37.6439,-98.7376,298.01,53,0,2.06,US,1688925034
